host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,summary_sent,description_sent,property_type_Bed & Breakfast,property_type_Boat,property_type_Bungalow,property_type_Cabin,property_type_Camper/RV,property_type_Chalet,property_type_Condominium,property_type_Dorm,property_type_House,property_type_Loft,property_type_Other,property_type_Tent,property_type_Townhouse,property_type_Treehouse,property_type_Yurt,room_type_Private room,room_type_Shared room,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed
100.0,100.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,65.0,100.0,50.0,2,15.0,2,14,28,363,148,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.3833333333333334,0.3343212121212122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0.0,2.0,1.0,0.0,1,1.0,2.0,2.0,225.0,250.0,150.0,1,0.0,7,730,19,308,0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,-0.033333333333333326,0.28904379933791696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70.0,100.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,92.0,250.0,75.0,3,0.0,2,365,30,365,53,9.0,10.0,9.0,10.0,9.0,9.0,0,0,0.65,0.3873842592592592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,114.0,100.0,60.0,1,25.0,1,365,30,365,133,10.0,10.0,10.0,10.0,9.0,10.0,1,0,0.27314814814814814,0.19649122807017544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,3.0,1.0,1.0,1,1.0,1.0,1.0,100.0,100.0,35.0,1,0.0,1,30,30,365,12,9.0,8.0,9.0,10.0,10.0,8.0,0,0,0.475,0.48014705882352937,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
94.89738919247117,99.96714848883049,0.0,1.0,1.0,1.0,1,1.0,1.0,2.0,110.0,100.0,75.0,2,25.0,3,7,30,365,60,9.0,9.0,10.0,9.0,10.0,9.0,0,0,0.31347402597402596,0.3325932797361369,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0.0,2.0,1.0,1.0,1,1.0,1.0,1.0,79.0,100.0,50.0,2,10.0,2,30,30,365,36,10.0,9.0,10.0,10.0,10.0,10.0,0,0,0.2777777777777778,0.33059884559884567,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0.0,2.0,1.0,0.0,1,1.0,1.0,1.0,140.0,400.0,125.0,1,25.0,2,730,30,365,4,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.044596354166666664,0.21289747807017542,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,2.0,4.0,6.0,280.0,550.0,150.0,6,30.0,3,365,0,0,22,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.625,0.3415343915343916,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,100.0,100.0,50.0,1,0.0,2,29,0,37,159,10.0,10.0,10.0,10.0,10.0,10.0,0,1,-0.009672619047619041,0.08020446815089673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,0.0,1,3.0,4.0,5.0,395.0,500.0,250.0,9,10.0,3,30,30,365,2,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.28,0.30756302521008405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,122.0,100.0,50.0,1,0.0,2,30,30,350,35,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.2204004329004329,0.2007015306122449,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,140.0,400.0,40.0,1,10.0,3,330,0,248,25,10.0,10.0,9.0,9.0,10.0,9.0,0,1,0.4291666666666667,0.4508771929824562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,115.0,500.0,50.0,1,0.0,2,365,0,305,19,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0.08750000000000001,0.25444214876033056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,2.0,1.0,1.0,1,1.0,1.0,2.0,79.0,250.0,50.0,2,10.0,3,7,25,355,210,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.22916666666666666,0.13470588235294118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,0.0,1,1.0,1.0,1.0,110.0,100.0,40.0,1,0.0,2,30,30,365,35,10.0,9.0,10.0,10.0,10.0,10.0,0,0,0.3375,0.24285714285714283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,2.0,1.0,1.0,1,1.0,2.0,3.0,145.0,400.0,50.0,2,20.0,3,30,30,179,135,10.0,10.0,10.0,10.0,10.0,10.0,0,0,-0.015909090909090914,0.1625108225108225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88.0,100.0,0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,95.0,300.0,40.0,1,0.0,2,365,0,298,91,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.1388888888888889,0.23020833333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75.0,100.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,88.0,100.0,30.0,3,15.0,1,730,30,361,93,10.0,9.0,10.0,10.0,9.0,10.0,0,0,0.03281250000000002,0.27794183612440193,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,0.0,1,1.0,1.0,2.0,82.0,100.0,40.0,2,30.0,3,60,23,347,181,9.0,10.0,10.0,10.0,9.0,9.0,0,1,0.20416666666666666,0.20320512820512823,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,6.0,1.0,0.0,1,1.0,2.0,4.0,135.0,200.0,50.0,6,0.0,3,60,0,327,10,10.0,10.0,10.0,10.0,9.0,9.0,1,0,0.0,0.22115384615384615,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
94.89738919247117,99.96714848883049,0.0,1.0,1.0,1.0,1,2.0,1.0,1.0,50.0,100.0,50.0,1,0.0,1,730,30,365,0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.13,0.12692307692307692,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0.0,10.0,1.0,1.0,1,1.0,2.0,4.0,117.0,100.0,150.0,7,9.0,1,1125,30,361,54,9.0,9.0,10.0,10.0,9.0,9.0,0,0,0.5055555555555555,0.39871794871794874,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,110.0,600.0,50.0,2,0.0,4,31,15,286,22,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.28409090909090906,0.2008030794962613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,1.5,1.0,1.0,55.0,100.0,50.0,2,10.0,2,180,28,360,277,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.32999999999999996,0.4355555555555556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0.0,10.0,1.0,1.0,1,1.0,1.0,1.0,75.0,100.0,150.0,2,18.0,1,1125,30,363,2,9.0,10.0,10.0,10.0,9.0,9.0,0,0,0.37916666666666665,0.18305194805194808,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
94.89738919247117,99.96714848883049,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,110.0,800.0,100.0,2,50.0,2,1125,23,270,53,9.0,9.0,10.0,10.0,10.0,9.0,0,0,0.2725000000000001,0.2741666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,60.0,100.0,50.0,1,0.0,1,730,26,359,0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.027500000000000014,0.07875000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,0.0,1,1.0,1.0,1.0,70.0,100.0,50.0,1,0.0,2,14,28,356,102,9.0,10.0,10.0,10.0,10.0,9.0,0,0,0.25,0.22338935574229693,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
94.89738919247117,99.96714848883049,0.0,1.0,1.0,1.0,1,1.0,1.0,2.0,88.0,100.0,10.0,1,50.0,1,365,29,364,32,9.0,9.0,10.0,10.0,9.0,9.0,0,0,0.11249999999999999,0.30081254724111867,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,95.0,100.0,15.0,2,15.0,3,7,0,153,181,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.11428571428571428,0.03794642857142857,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,64.0,100.0,50.0,1,15.0,2,21,30,365,57,9.0,10.0,10.0,10.0,9.0,10.0,1,0,0.215625,0.296969696969697,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0.0,4.0,1.0,1.0,1,1.0,1.0,2.0,80.0,100.0,25.0,2,0.0,2,28,30,365,2,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.3630952380952381,0.2062905844155844,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,70.0,300.0,50.0,1,10.0,2,30,0,63,63,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.1285714285714286,0.11388888888888887,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,76.0,200.0,50.0,2,0.0,2,60,17,55,106,10.0,9.0,10.0,10.0,10.0,10.0,1,1,0.15,0.18605050505050502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,2.0,1.0,1.0,1,1.0,1.0,1.0,110.0,100.0,75.0,1,20.0,2,29,19,354,51,9.0,9.0,9.0,9.0,7.0,8.0,0,0,0.445,0.27566666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
